Site Code ,Device,Router Label,IP_Network,Broadcast address,Gateway,Subnetmask,Vlan descrtiption,VLAN ID ,VLANServiceType
KOS5711,KST-ATN950,KST-ATN950,10.33.60.1,10.33.60.31,,255.255.255.224,DWAIM_Cluster_Abis,2185,Abis
KOS5711,KST-ATN950,KST-ATN950,10.33.23.161,10.33.23.191,,255.255.255.224,KOSTI_Cluster_Abis,985,Abis
KOS5711,KST-ATN950,KST-ATN950,10.33.102.225,10.33.102.255,,255.255.255.224,KOSTI & RABAK_Cluster_Abis,2164,Abis
KOS5711,KST-ATN950,KST-ATN950,10.33.58.97,10.33.58.127,,255.255.255.224,White_Nile_Cluster1_Abis_belong_to_MDN,2177,Abis
KOS5711,KST-ATN950,KST-ATN950,10.33.23.193,10.33.23.223,,255.255.255.224,RABAK_Cluster_Abis,986,Abis
KOS5711,KST-ATN950,KST-ATN950,10.33.42.1,10.33.42.31,,255.255.255.224,Kosti_Abis_Cluster5,2188,Abis
KOS5711,KST-ATN950,KST-ATN950,10.33.102.1,10.33.102.31,,255.255.255.224,Kosti_Abis,2170,Abis
KOS5711,KST-ATN950,KST-ATN950,10.33.58.33,10.33.58.63,,255.255.255.224,White_Nile_Cluster2_Abis_belong_to_MDN,2179,Abis
KOS5711,KST-ATN950,KST-ATN950,10.33.58.65,10.33.58.95,,255.255.255.224,White_Nile_Cluster3_Abis_belong_to_MDN,2173,Abis
KOS5711,KST-ATN950,KST-ATN950,10.33.102.193,10.33.102.223,,255.255.255.224,N/A,2671,Abis
KOS5711,KST-ATN950,KST-ATN950,10.33.86.161,10.33.86.191,,255.255.255.224,WN-Huawei-2G-Cluster1,2603,Abis
KOS5711,KST-ATN950,KST-ATN950,10.33.94.1,10.33.94.31,,255.255.255.224,Kosti_Iub,980,Iub
KOS5711,KST-ATN950,KST-ATN950,10.33.16.33,10.33.16.63,,255.255.255.224,Umrwb-Iub,968,Iub
KOS5711,KST-ATN950,KST-ATN950,10.33.0.33,10.33.0.63,,255.255.255.224,Iub_Cluster_0,970,Iub
KOS5711,KST-ATN950,KST-ATN950,10.33.23.97,10.33.23.127,,255.255.255.224,WN_cluster1_Iub,987,Iub
KOS5711,KST-ATN950,KST-ATN950,10.33.23.225,10.33.23.255,,255.255.255.224,RABAK_JABALIN_City_Iub,988,Iub
KOS5711,KST-ATN950,KST-ATN950,10.33.1.225,10.33.1.239,,255.255.255.240,C7_MDN5103,977,Iub
KOS5711,KST-ATN950,KST-ATN950,10.33.23.33,10.33.23.63,,255.255.255.224,KOSTI_Cluster2_Iub,982,Iub
KOS5711,KST-ATN950,KST-ATN950,10.33.3.1,10.33.3.31,,255.255.255.224,KOSTI_Cluster4_Iub,992,Iub
KOS5711,KST-ATN950,KST-ATN950,10.33.1.33,10.33.1.63,,255.255.255.224,N/A,971,Iub
KOS5711,KST-ATN950,KST-ATN950,10.33.22.65,10.33.22.79,,255.255.255.240,Sudatel_DWAIM_Iub,19,Iub
KOS5711,KST-ATN950,KST-ATN950,10.33.24.225,10.33.24.239,,255.255.255.240,KST-CLUSTER,1177,S1
KOS5711,KST-ATN950,KST-ATN950,10.33.23.193,10.33.23.207,,255.255.255.240,KOSTI Cluster1_S1,1179,S1
KOS5711,KST-ATN950,KST-ATN950,10.33.25.2,10.33.25.31,,255.255.255.224,To-Cluster-0-LTE-S1,1160,S1
KOS5711,KST-ATN950,KST-ATN950,10.33.33.1,10.33.33.31,,255.255.255.224,KOSTI Cluster2_S1,1180,S1
KOS5711,KST-ATN950,KST-ATN950,10.33.33.33,10.33.33.63,,255.255.255.224,Kosti_LTE_Cluster,1182,S1
